1.	MS Winword 2013: để soạn thảo nhanh một cụm từ lặp lại nhiều lần trong văn bản, ta thiết lập từ gõ tắt bằng cách vào File\Optoin\ Proofing\AutoOptoins..., ta chọn tiếp công cụ nào sau đây?
D.	Cơ sở dữ liệu không hiển thị các dòng thỏa mãn điều kiện lọc Answer: A
33.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện lệnh Data\Filter và chỉ định điều kiện lọc tại một Trường (cột) trên cơ sở dữ liệu, Phát biểu nào sau đây là đúng?
A.	Cơ sở dữ liệu sẽ xuất những dòng thỏa mãn điều kiện lọc tại cột được chỉ định điều kiện lọc ra vị trí khác trên bảng tính
B.	Cơ sở dữ liệu sẽ xóa những dòng không thỏa mãn điều kiện lọc tại cột được chỉ định điều kiện lọc
C.	Cơ sở dữ liệu sẽ ẩn những dòng không thỏa mãn điều kiện lọc tại cột được chỉ định điều kiện lọc
D.	Cơ sở dữ liệu sẽ xuất những dòng không cần thỏa mãn điều kiện lọc Answer: C
34.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện lệnh Data\Filter và chỉ định điều kiện lọc tại hai Trường (cột) trên cơ sở dữ liệu, Phát biểu nào sau đây là đúng?
A.	Cơ sở dữ liệu sẽ xuất những dòng thỏa mãn điều kiện lọc tại cả hai cột được chỉ định điều kiện lọc ra vị trí khác trên bảng tính
B.	Cơ sở dữ liệu sẽ ẩn những dòng không thỏa mãn cả hai điều kiện lọc tại các cột được chỉ định điều kiện lọc
C.	Cơ sở dữ liệu sẽ ẩn những dòng không thỏa mãn một trong hai điều kiện lọc tại các cột được chỉ định điều kiện lọc
D.	Cơ sở dữ liệu sẽ hiển thị những dòng không thỏa mãn Answer: B
35.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện lệnh Data\Filter và chỉ định điều kiện lọc tại hai Trường (cột) trên cơ sở dữ liệu, Phát biểu nào sau đây là đúng?
A.	Cơ sở dữ liệu chỉ hiển thị những dòng thỏa mãn cả hai điều kiện lọc tại các cột được chỉ định điều kiện lọc
B.	Cơ sở dữ liệu chỉ hiển thị những dòng thỏa mãn một trong hai điều kiện lọc tại các cột được chỉ định điều kiện lọc
C.	Cơ sở dữ liệu sẽ xuất những dòng thỏa mãn cả hai điều kiện lọc tại các cột được chỉ định điều kiện lọc ra vị trí khác trên bảng tính
D.	Cơ sở dữ liệu sẽ xuất những dòng không thỏa mãn cả hai điều kiện lọc tại các cột được chỉ định điều kiện lọc ra vị trí khác trên bảng tính
Answer: A

36.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced thì phải tạo miền điều kiện, phát biểu nào sau đây về vị trí của miền điều kiện là đúng nhất?
A.	Phải tạo tại Sheet chứa cơ sở dữ liệu
B.	Phải tạo tại Sheet chứa kết quả trích xuất dữ liệu
C.	Tại Sheet chứa kết quả trích xuất dữ liệu hoặc Sheet chứa cơ sở dữ liệu
D.	Tại vị trí tùy chọn mà không làm ảnh hưởng đến Cơ sở dữ liệu Answer: D
 
37.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced, có 2 điều kiện trích xuất liên quan đến 2 trường dữ liệu và phải thỏa mãn đồng thời, phương án nhập điều kiện nào sau đây là đúng?
A.	Nhập 2 điều kiện trên cùng dòng
B.	Nhập 2 điều kiện trên khác dòng khác cột
C.	Nhập 2 điều kiện trên khác dòng cùng cột
D.	Nhập 3 điều kiện trên khác dòng cùng cột Answer: A

38.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced, có 2 điều kiện trích xuất liên quan đến 2 trường dữ liệu và chỉ cần thỏa mãn 1 trong 2 điều kiện, phương án nhập điều kiện nào sau đây là đúng?
A.	Nhập 2 điều kiện trên cùng dòng
B.	Nhập 2 điều kiện trên khác dòng khác cột
C.	Nhập 2 điều kiện trên khác dòng cùng cột
D.	Nhập 3 điều kiện trên khác dòng cùng cột Answer: B
39.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced, có 2 điều kiện trích xuất liên quan đến 1 trường dữ liệu và phải thỏa mãn đồng thời, phương án nhập điều kiện nào sau đây là đúng?
A.	Tên trường được sử dụng 2 lần trong miền điều kiện, nhập 2 điều kiện trên cùng dòng
B.	Tên trường được sử dụng 2 lần trong miền điều kiện, nhập 2 điều kiện trên khác dòng khác cột
C.	Nhập 2 điều kiện trên khác dòng cùng cột
D.	Nhập 2 điều kiện trên cùng dòng cùng cột Answer: A
40.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced, có 2 điều kiện trích xuất liên quan đến 1 trường dữ liệu và chỉ cần thỏa mãn 1 trong 2 điều kiện, phương án nhập điều kiện nào sau đây là đúng?
A.	Tên trường được sử dụng 2 lần trong miền điều kiện, nhập 2 điều kiện trên cùng dòng
B.	Tên trường được sử dụng 2 lần trong miền điều kiện, nhập 2 điều kiện trên khác dòng khác cột
C.	Nhập 2 điều kiện trên khác dòng cùng cột
D.	Nhập 2 điều kiện trên cùng dòng cùng cột Answer: C

41.	MS Excel 2013: Trong bảng tính Excel, khi ta thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced và chỉ định miền điều kiện, phát biểu về kết quả nào sau đây là đúng?
A.	Cơ sở dữ liệu chỉ hiển thị những dòng thỏa mãn miền điều kiện và ẩn các dòng còn lại
B.	Cơ sở dữ liệu sẽ xóa những dòng không thỏa mãn miền điều kiện
C.	Cơ sở dữ liệu sẽ xuất những dòng thỏa mãn miền điều kiện ra vị trí khác
D.	Nhập 2 điều kiện trên cùng dòng cùng cột Answer: C
 
42.	MS Excel 2013: Trong bảng tính Excel có 2 Sheets (Sheet1 và Sheet2). Cơ sở dữ liệu nằm trên Sheet1, miền điều kiện nằm ở Sheet2, khi ta ở Sheet1 và thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced kết quả thực hiện cho phép xuất ra ở đâu?
A.	Sheet1
B.	Sheet2
C.	Sheet1 hoặc Sheet2 đều được
D.	Kết quả xuất ra ở Sheet mới (không phải Sheet1 hay Sheet2) Answer: A

43.	MS Excel 2013: Trong bảng tính Excel có 2 Sheets (Sheet1 và Sheet2). Cơ sở dữ liệu và miền điều kiện nằm trên Sheet1, khi ta ở Sheet2 và thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced kết quả thực hiện cho phép xuất ra ở đâu?
A.	Sheet1
B.	Sheet2
C.	Sheet1 hoặc Sheet2 đều được
D.	Kết quả xuất ra ở Sheet mới (không phải Sheet1 hay Sheet2) Answer: B
44.	MS Excel 2013: Trong bảng tính Excel có 2 Sheets (Sheet1 và Sheet2). Cơ sở dữ liệu nằm trên Sheet2, miền điều kiện nằm ở Sheet1, khi ta ở Sheet1 và thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced kết quả thực hiện cho phép xuất ra ở đâu?
A.	Sheet1
B.	Sheet2
C.	Sheet1 hoặc Sheet2 đều được
D.	Kết quả xuất ra ở Sheet mới (không phải Sheet1 hay Sheet2) Answer: A
45.	MS Excel 2013: Trong bảng tính Excel có 2 Sheets (Sheet1 và Sheet2). Cơ sở dữ liệu nằm trên Sheet1, miền điều kiện nằm ở Sheet2, khi ta ở Sheet2 và thực hiện trích xuất dữ liệu bằng lệnh Data\Advanced kết quả thực hiện cho phép xuất ra ở đâu?
A.	Sheet1
B.	Sheet2
C.	Sheet1 hoặc Sheet2 đều được
D.	Kết quả xuất ra ở Sheet mới (không phải Sheet1 hay Sheet2) Answer: B

91.	MS Excel 2013: Để thực hiện tính năng lọc nâng cao, ta thực hiện các bước nào sau đây
A.	Vào tab Data/ trong nhóm Sort&Filter/ Chọn Sort
B.	Vào tab Data/ trong nhóm Sort&Filter/ Chọn Filter
C.	Vào tab Data/ trong nhóm Sort&Filter/ Chọn Advanced
D.	Vào tab Data/ trong nhóm Advanced / Chọn Filter Answer: C

94.	MS Excel 2013: Tại địa chỉ A1=”A1-Đường-23”, A2=”B1-Sữa-13”, A3=”C1-Muối- 12”. Để điền thông tin tên hàng Đường, Sữa và muối vào các địa chỉ B1,B2 B3 Bạn phải sử dụng công thức nào sau đây:
A.	MID(A1, 4, LEN(A1)-5)
 
B.	MID(A1, 4, 5)
C.	MID(A1, 4, 3)
D.	LEFT(A1, 4, LEN(A1)-5)
Answer: A

95.	MS Excel 2013: Tại địa chỉ A1=”Tuấn, Nguyễn Văn”, A2=”Trang-Trần Thị”, A3=”Phương, Lưu Thị Ánh” là thông tin họ và tên thí sinh. Để điền thông tin tên thí sinh vào các địa chỉ B1,B2 B3 Bạn phải sử dụng công thức nào sau đây:
A.	LEFT(A1, 4)
B.	RIGHT(A1, FIND(“,”,A1)-1)
C.	LEFT(A1, 6)
D.	LEFT(A1, FIND(“,”,A1)-1)
Answer: D
109. MS Excel 2013: Tại địa chỉ A1=”Phương, Hà Trình Như” là họ và tên thí sinh, muốn điều tên thí sinh tại địa chỉ B1 và họ thí sinh tại địa chỉ B2. Ta sử dụng các hàm nào sau đây?
A.	B1 sử dụng các hàm MID, RIGHT tại B2 sử dụng các hàm MID, RIGHT, LEN
B.	B1 sử dụng các hàm MID, LEN tại B2 sử dụng các hàm MID, LEFT, LEN
C.	B1 sử dụng các hàm LEFT, LEFT tại B2 sử dụng các hàm MID, RIGHT, LEN
D.	B1 sử dụng các hàm LEFT, FIND tại B2 sử dụng các hàm MID, FIND, LEN Answer: D

118.	MS Excel 2013: Các hàm sau đây hàm nào không phải là hàm xử lý cơ sở dữ liệu?
A.	DMIN
B.	DCOUNT
C.	DSUM
D.	SUM
Answer: D

119.	MS Excel 2013: Các hàm sau đây hàm nào không phải là hàm thống kê điều kiện đơn giản?
A.	SUMIF
B.	COUNTA
C.	SUMIFS
D.	DSUM
Answer: B
150.	MS Excel 2013: Tại địa chỉ A1=”A-ĐƯỜNG-L1”, A2=”B-ĐƯỜNG-L2”, A3=”C-
ĐƯỜNG-L1”. Để đếm có bao nhiêu mặt hàng loại 1. Ta phải dụng công thức nào sau đây?
A.	COUNTIFS(A1:A3,”L1”)
B.	COUNTIFS(A1:A3,”1”)
C.	COUNTIF(A1:A3,”1”)
D.	COUNTIF(A1:A3,”*L1”)
Answer: D
 
151.	MS Excel 2013: Tại địa chỉ A1=”A-GẠO-L1”, A2=”B-ĐƯỜNG-L2”, A3=”C-
ĐƯỜNG-L1”, B1=20, B2=10, B3=35 (cột A là mã hàng, cột B là số lượng). Để tính tổng số lượng mặt hàng đường loại 1. Ta phải dụng công thức nào sau đây?
A.	SUMIFS(B1:B3, A1:A3,”*L1*”, A1:A3,”*ĐƯỜNG*”)
B.	SUMIFS(B1:B3, A1:A3,”L1”, A1:A3,”ĐƯỜNG”)
C.	SUMIFS(B1:B3, A1:A3,”*1*”, A1:A3,”ĐƯỜNG”)
D.	SUMIFS(B1:B3, A1:A3,”L1”, A1:A3,”*ĐƯỜNG*”)
Answer: A

152.	MS Excel 2013: Tại địa chỉ A1=”A-ĐƯỜNG-L1”, A2=”B-ĐƯỜNG-L2”, A3=”C-
ĐƯỜNG-L1”. Để đếm có bao nhiêu mặt hàng loại 1. Ta phải dụng công thức nào sau đây?
A.	COUNTIFS(A1:A3,”*L1*”)
B.	COUNTIFS(A1:A3,”L1”)
C.	COUNTIF(A1:A3,”L1”)
D.	COUNTIF(A1:A3,”1”)
Answer: A
153.	MS Excel 2013: Tại địa chỉ A1=”A-GẠO-L1”, A2=”B-ĐƯỜNG-L2”, A3=”C-
ĐƯỜNG-L1”, B1=20, B2=10, B3=35 (cột A là mã hàng, cột B là số lượng). Để tính tổng số lượng mặt hàng đường loại 1. Ta phải dụng hàm nào sau đây?
A.	DSUM
B.	DCOUT
C.	DMIN
D.	DMAX
Answer: A

1.	MS Access 2013: File QLBH.accdb thuộc phiên bản nào
A.	1997
B.	2003
C.	2007
D.	1998
Answer: A

2.	MS Access 2013: Kiểu tạo bảng nào cho phép chọn kiểu dữ liệu của trường thông tin
A.	Table Design
B.	Table
C.	Table Wizard
D.	Query Answer: A

3.	MS Access 2013: Kiểu tạo bảng nào cho phép không cần chọn kiểu dữ liệu
A.	Table
B.	Table Design
C.	Table Wizard
D.	Table Data Type
 
Answer: A

4.	MS Access 2013: Dòng Field của giao diện Query Design thể hiện điều gì
A.	Tên trường được chọn
B.	Tên bảng được chọn
C.	Tên liên kết được chọn
D.	Tên bảng không được chọn Answer: A

5.	MS Access 2013: Dòng Table của giao diện Query Design thể hiện điều gì
A.	Tên bảng được chọn
B.	Tên trường được chọn
C.	Tên liên kết được chọn
D.	Tên trường không được chọn Answer: A

6.	MS Access 2013: Dòng Sort của giao diện Query Design thể hiện điều gì
A.	Tên trường được sắp xếp
B.	Tên bảng được sắp xếp
C.	Tên liên kết được sắp xếp
D.	Tên bảng không được sắp xếp Answer: A

7.	MS Access 2013: Dòng Show của giao diện Query Design thể hiện điều gì
A.	Tên trường được hiển thị
B.	Tên bảng được hiển thị
C.	Tên liên kết được hiển thị
D.	tên bảng không được hiển thị Answer: A

8.	MS Access 2013: Dòng Criteria của giao diện Query Design thể hiện điều gì
A.	Tên trường làm điều kiện
B.	Tên bảng làm điều kiện
C.	Tên liên kết làm điều kiện
D.	Tên bảng không làm điều kiện Answer: A

9.	MS Access 2013: Dòng Or của giao diện Query Design thể hiện điều gì
A.	Điều kiện của trường thông tin
B.	Điều kiện của bảng
C.	Điều kiện của liên kết
D.	Không có điều kiện của bảng Answer: A
 
10.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu tối đa 255 ký tự
A.	Text
B.	Memo
C.	Currency
D.	Yes/No Answer: A

11.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu trên 255 ký tự
A.	Memo
B.	Text
C.	Currency
D.	Yes/No Answer: A

12.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu số 333
A.	Number
B.	Text
C.	Currency
D.	Yes/No Answer: A

13.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu số 2.34
A.	Number
B.	Text
C.	Currency
D.	Yes/No Answer: A

14.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu số 100000
A.	Number - Byte
B.	Number - Integer
C.	Number - Long Integer
D.	Number - Double Answer: A

15.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu số 2.34
A.	Number - Double
B.	Number - Integer
C.	Number - Long Integer
D.	Number - Byte Answer: A

16.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu giá trị TRUE
A.	Yes/No
 
B.	Memo
C.	Currency
D.	Text Answer: A

17.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu giá trị FALSE
A.	Yes/No
B.	Memo
C.	Currency
D.	Text Answer: A

18.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu giá trị 10/03/2017
A.	Date/Time
B.	Memo
C.	Number
D.	Text Answer: A

19.	MS Access 2013: Kiểu dữ liệu nào cho phép lưu giá trị 10/03/2017
A.	Date/Time - Short Date
B.	Date/Time - Long Date
C.	Date/Time - Medium Date
D.	Date/Time - General Date Answer: A

20.	MS Access 2013: Thuộc tính Field Size của một trường có mục đích gì
A.	Xác định kiểu dữ liệu
B.	Định dạng dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Điều kiện nhập dữ liệu Answer: A

21.	MS Access 2013: Thuộc tính Format của một trường có mục đích gì
A.	Định dạng dữ liệu
B.	Xác định kiểu dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Điều kiện nhập dữ liệu Answer: A

22.	MS Access 2013: Thuộc tính Input Mask của một trường có mục đích gì
A.	Ràng buộc nhập dữ liệu
B.	Định dạng dữ liệu
C.	Xác định kiểu dữ liệu
 
D.	Điều kiện nhập dữ liệu Answer: A

23.	MS Access 2013: Thuộc tính Caption của một trường có mục đích gì
A.	Tạo nhãn cho tên trường dữ liệu
B.	Định dạng dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Điều kiện nhập dữ liệu Answer: A

24.	MS Access 2013: Thuộc tính Default Value của một trường có mục đích gì
A.	Tạo một giá trị ban đầu cho trường dữ liệu
B.	Định dạng dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Điều kiện nhập dữ liệu Answer: A

25.	MS Access 2013: Thuộc tính Validation Rule của một trường có mục đích gì
A.	Điều kiện nhập dữ liệu
B.	Định dạng dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Xác định kiểu dữ liệu Answer: A

26.	MS Access 2013: Thuộc tính Validation Text của một trường có mục đích gì
A.	Lời nhắc điều kiện nhập dữ liệu
B.	Lời nhắc định dạng dữ liệu
C.	Lời nhắc ràng buộc nhập dữ liệu
D.	Lời nhắc xác định kiểu dữ liệu Answer: A

27.	MS Access 2013: Thuộc tính Required của một trường có mục đích gì
A.	Yêu cầu phải nhập dữ liệu
B.	Định dạng dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Điều kiện nhập dữ liệu Answer: A

28.	MS Access 2013: Thuộc tính Allow Zero Length của một trường có mục đích gì
A.	Không cho phép để trống dữ liệu
B.	Định dạng dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Điều kiện nhập dữ liệu Answer: A
 
29.	MS Access 2013: Thuộc tính Indexed của một trường có mục đích gì
A.	Kiểm soát việc trùng lặp dữ liệu
B.	Định dạng dữ liệu
C.	Ràng buộc nhập dữ liệu
D.	Điều kiện nhập dữ liệu Answer: A

30.	MS Access 2013: Mệnh đề nào phát biểu đúng về Query
A.	Chứa câu lệnh SQL dùng trích lọc dữ liệu từ Table
B.	Trích lọc và sao chép dữ liệu từ Table
C.	Trích lọc và chuyển dữ liệu từ Table
D.	Dùng để xem, sửa, xóa các Record của Table Answer: A

31.	MS Access 2013: Mệnh đề nào phát biểu đúng về Table
A.	Lưu trữ dữ liệu do người dùng nhập liệu
B.	Trích lọc và sao chép dữ liệu từ Table
C.	Lập báo cáo có nguồn thông tin từ Query
D.	Dùng để xem, sửa, xóa các Record của Table Answer: A

32.	MS Access 2013: Mệnh đề nào phát biểu đúng về Form
A.	Dùng để xem, sửa, xóa các Record của Table
B.	Trích lọc và sao chép dữ liệu từ Table
C.	Lập báo cáo có nguồn thông tin từ Query
D.	Lưu trữ dữ liệu do người dùng nhập liệu Answer: A

33.	MS Access 2013: Mệnh đề nào phát biểu đúng về Report
A.	Lập báo cáo có nguồn thông tin từ Query
B.	Trích lọc và sao chép dữ liệu từ Table
C.	Lưu trữ dữ liệu do người dùng nhập liệu
D.	Dùng để xem, sửa, xóa các Record của Table Answer: A

34.	MS Access 2013: Query dùng để trích lọc thông tin là loại Query nào
A.	Select
B.	Update
C.	Delete
D.	Make Table Answer: A

35.	MS Access 2013: Query dùng để cập nhật thông tin là loại Query nào
 
A.	Update
B.	Select
C.	Delete
D.	Append Answer: A

36.	MS Access 2013: Query dùng để xóa thông tin là loại Query nào
A.	Delete
B.	Update
C.	Select
D.	Append Answer: A

37.	MS Access 2013: Query cho phép người dùng nhập điều kiện trích lọc là loại Query nào
A.	Select - Parameter
B.	Select - Criteria
C.	Select - Total
D.	Select - Crosstab Answer: A

38.	MS Access 2013: Query cho phép người dùng thống kê dữ liệu là loại Query nào
A.	Select - Total
B.	Select - Criteria
C.	Select - Parameter
D.	Select - Append Answer: A

39.	MS Access 2013: Query cho phép người dùng thống kê dữ liệu là loại Query nào
A.	Select - Crosstab
B.	Select - Criteria
C.	Select - Parameter
D.	Select - Append Answer: A

40.	MS Access 2013: Query nào cho phép thống kê tổng thành tiền của từng khách hàng
A.	Select - Total
B.	Select - Crosstab
C.	Select - Criteria
D.	Select - Crosstab Answer: A
